Well,Sample description 1,Sample description 2,Sample description 3,Sample description 4,Target,Conc(copies/µL),Molecular Weight(pg/µL),Status,Status Reason,Experiment,SampleType,TargetType,Supermix,DyeName(s),Copies/20µLWell,TotalConfMax,TotalConfMin,PoissonConfMax,PoissonConfMin,Accepted Droplets,Positives,Negatives,Ch1+Ch2+,Ch1+Ch2-,Ch1-Ch2+,Ch1-Ch2-,Linkage,CNV,TotalCNVMax,TotalCNVMin,PoissonCNVMax,PoissonCNVMin,ReferenceCopies,UnknownCopies,Threshold1,Threshold2,Threshold3,ThresholdSigmaAbove,ThresholdSigmaBelow,ReferenceUsed,Ratio,TotalRatioMax,TotalRatioMin,PoissonRatioMax,PoissonRatioMin,Fractional Abundance,TotalFractionalAbundanceMax,TotalFractionalAbundanceMin,PoissonFractionalAbundanceMax,PoissonFractionalAbundanceMin,MeanAmplitudeOfPositives,MeanAmplitudeOfNegatives,MeanAmplitudeTotal,ExperimentComments,MergedWells,TotalConfidenceMax68,TotalConfidenceMin68,PoissonConfidenceMax68,PoissonConfidenceMin68,TotalCNVMax68,TotalCNVMin68,PoissonCNVMax68,PoissonCNVMin68,TotalRatioMax68,TotalRatioMin68,PoissonRatioMax68,PoissonRatioMin68,TotalFractionalAbundanceMax68,TotalFractionalAbundanceMin68,PoissonFractionalAbundanceMax68,PoissonFractionalAbundanceMin68,TiltCorrected
E11,Plate 4,,,,16S_bact,1.24327862262726,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR EvaGreen Supermix,EvaGreen,24.865571975708,,,1.93598902225494,0.739738702774048,16095,17,16078,0,0,0,0,,,,,,,,,10000,,,0.703851602870883,1.32730883457332,,,,,,,,,,,,10894.892578125,8119.40626231484,8122.33781045829,,,,,1.56974732875824,0.965620994567871,,,,,,,,,,,,,No
E12,Plate 4,,,,16S_bact,6303.4970703125,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR EvaGreen Supermix,EvaGreen,126069.9375,,,6595.02880859375,6034.19921875,14436,14368,68,0,0,0,0,,,,,,,,,10000,,,3.03049213830855,0.723960459514233,,,,,,,,,,,,11435.0810954003,9658.89609662224,11426.7144716875,,,,,6448.47607421875,6164.2373046875,,,,,,,,,,,,,No
F01,Plate 4,,,,16S_bact,77.6879959106445,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR EvaGreen Supermix,EvaGreen,1553.75988769531,,,82.5555419921875,72.8405075073242,15383,983,14400,0,0,0,0,,,,,,,,,10000,,,1.01122533072453,1.72818298083738,,,,,,,,,,,,10315.6188982229,4186.46375667572,4578.12724911158,,,,,80.1689224243164,75.212287902832,,,,,,,,,,,,,No
F02,Plate 4,,,,16S_bact,10561.869140625,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR EvaGreen Supermix,EvaGreen,211237.375,,,12782.0673828125,9192.353515625,15847,15845,2,0,0,0,0,,,,,,,,,10000,,,6.33729338477758,8.9450875303339,,,,,,,,,,,,12510.1963169203,3941.70361328125,12509.1149144209,,,,,11543.880859375,9792.896484375,,,,,,,,,,,,,No
F03,Plate 4,,,,16S_bact,0.432892024517059,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR EvaGreen Supermix,EvaGreen,8.65784072875977,,,0.940877377986908,0.152186661958694,13591,5,13586,0,0,0,0,,,,,,,,,10000,,,3.8655248068494,94.8751950400405,,,,,,,,,,,,13227.1828125,2139.32628792536,2143.40540518111,,,,,0.659357964992523,0.265430480241776,,,,,,,,,,,,,No
F04,Plate 4,,,,16S_bact,39.2633399963379,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR EvaGreen Supermix,EvaGreen,785.266784667969,,,42.9131469726563,35.6248245239258,13588,446,13142,0,0,0,0,,,,,,,,,10000,,,1.9921708069214,13.1321029464776,,,,,,,,,,,,11143.2616661996,1982.54768721064,2283.2305275572,,,,,41.1240768432617,37.4055519104004,,,,,,,,,,,,,No
F05,Plate 4,,,,16S_bact,0.679364502429962,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR EvaGreen Supermix,EvaGreen,13.5872898101807,,,1.23099517822266,0.323932439088821,15590,9,15581,0,0,0,0,,,,,,,,,10000,,,0.972538380467571,2.85812025229686,,,,,,,,,,,,11236.9812282986,2715.77073484244,2720.68997117606,,,,,0.93279242515564,0.476646363735199,,,,,,,,,,,,,No
F06,Plate 4,,,,16S_bact,0.500590324401855,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR EvaGreen Supermix,EvaGreen,10.0118064880371,,,1.02343392372131,0.196039140224457,14104,6,14098,0,0,0,0,,,,,,,,,10000,,,1.90135860387132,3.06765421572549,,,,,,,,,,,,11134.1974283854,3911.75769116568,3914.83019814407,,,,,0.735941290855408,0.321771681308746,,,,,,,,,,,,,No
F07,Plate 4,,,,16S_bact,69.9677429199219,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR EvaGreen Supermix,EvaGreen,1399.35485839844,,,74.7124786376953,65.242057800293,14531,839,13692,0,0,0,0,,,,,,,,,10000,,,2.34579791827132,14.4093038512092,,,,,,,,,,,,11686.0646416865,2113.448178724,2666.15791738105,,,,,72.3861312866211,67.5543060302734,,,,,,,,,,,,,No
F08,Plate 4,,,,16S_bact,6.23257827758789,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR EvaGreen Supermix,EvaGreen,124.651565551758,,,7.66829586029053,4.98921489715576,15898,84,15814,0,0,0,0,,,,,,,,,10000,,,1.79923915020213,56.9605676354021,,,,,,,,,,,,11865.9131673177,2096.95431548273,2148.57040200646,,,,,6.93633508682251,5.57838821411133,,,,,,,,,,,,,No
F09,Plate 4,,,,16S_bact,2.4167058467865,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR EvaGreen Supermix,EvaGreen,48.3341178894043,,,3.47371506690979,1.59995460510254,12670,26,12644,0,0,0,0,,,,,,,,,10000,,,0.946355842656066,3.22679682315307,,,,,,,,,,,,10806.1637995793,2697.06722968396,2713.70783827254,,,,,2.9215874671936,1.97379839420319,,,,,,,,,,,,,No
F10,Plate 4,,,,16S_bact,3844.35668945313,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR EvaGreen Supermix,EvaGreen,76887.1328125,,,3949.02001953125,3748.2490234375,13388,12878,510,0,0,0,0,,,,,,,,,10000,,,2.33292782650591,0.903601240310398,,,,,,,,,,,,10940.0288057121,9594.39387446385,10888.7684371032,,,,,3896.59252929688,3794.34228515625,,,,,,,,,,,,,No
F11,Plate 4,,,,16S_bact,728.88037109375,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR EvaGreen Supermix,EvaGreen,14577.607421875,,,746.199035644531,711.81298828125,15437,7129,8308,0,0,0,0,,,,,,,,,10000,,,1.08971516359106,0.588070634779994,,,,,,,,,,,,10354.9394720289,9387.26078212336,9834.14692453032,,,,,737.6845703125,720.141540527344,,,,,,,,,,,,,No
F12,Plate 4,,,,16S_bact,190.045166015625,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR EvaGreen Supermix,EvaGreen,3800.9033203125,,,198.242034912109,181.904998779297,13971,2084,11887,0,0,0,0,,,,,,,,,10000,,,2.60444006183651,10.0930491982344,,,,,,,,,,,,11912.1121786341,1938.90232161981,3426.5674380766,,,,,194.220108032227,185.884979248047,,,,,,,,,,,,,No
G01,Plate 4,,,,16S_bact,4876.33984375,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR EvaGreen Supermix,EvaGreen,97526.796875,,,5039.28564453125,4733.24169921875,14263,14037,226,0,0,0,0,,,,,,,,,10000,,,3.58982487773575,1.37129832391044,,,,,,,,,,,,12192.3682563827,6106.82474700118,12095.9416397438,,,,,4956.6552734375,4801.15869140625,,,,,,,,,,,,,No
G02,Plate 4,,,,16S_bact,8478.1630859375,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR EvaGreen Supermix,EvaGreen,169563.265625,,,9218.623046875,7865.89404296875,16177,16165,12,0,0,0,0,,,,,,,,,10000,,,4.55558026249284,0.952285433941962,,,,,,,,,,,,12148.8014251832,8094.8486735026,12145.7942277411,,,,,8835.4560546875,8153.69384765625,,,,,,,,,,,,,No
G03,Plate 4,,,,16S_bact,11.3000373840332,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR EvaGreen Supermix,EvaGreen,226.000747680664,,,13.0803661346436,9.5223970413208,16215,155,16060,0,0,0,0,,,,,,,,,10000,,,2.03777137943883,26.1250726965327,,,,,,,,,,,,11391.4852696573,2020.26944605921,2109.849369134,,,,,12.2080316543579,10.3927421569824,,,,,,,,,,,,,No
G04,Plate 4,,,,16S_bact,830.227844238281,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR EvaGreen Supermix,EvaGreen,16604.556640625,,,850.04541015625,810.738647460938,14116,7146,6970,0,0,0,0,,,,,,,,,10000,,,1.4355405298316,1.3928220860509,,,,,,,,,,,,10710.5490864098,5566.46745496884,8170.57678751893,,,,,840.297119140625,820.244079589844,,,,,,,,,,,,,No
G05,Plate 4,,,,16S_bact,56.6988487243652,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR EvaGreen Supermix,EvaGreen,1133.97692871094,,,61.0763664245605,52.3375587463379,13751,647,13104,0,0,0,0,,,,,,,,,10000,,,1.59106020735533,7.95355247136734,,,,,,,,,,,,10804.9414032313,2002.99287851448,2417.1344460726,,,,,58.9302406311035,54.4716796875,,,,,,,,,,,,,No
G06,Plate 4,,,,16S_bact,48.9497756958008,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR EvaGreen Supermix,EvaGreen,978.995483398438,,,52.8410453796387,45.0713348388672,14968,610,14358,0,0,0,0,,,,,,,,,10000,,,2.24424625316275,14.4853532839512,,,,,,,,,,,,11525.455715292,2139.42021821518,2521.93502668771,,,,,50.9335098266602,46.9693832397461,,,,,,,,,,,,,No
G07,Plate 4,,,,16S_bact,74.4207229614258,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR EvaGreen Supermix,EvaGreen,1488.41442871094,,,79.0854568481445,69.7743988037109,16020,982,15038,0,0,0,0,,,,,,,,,10000,,,1.80810068240548,9.47730143959113,,,,,,,,,,,,11169.857636679,2302.88307888246,2846.41422843028,,,,,76.7983779907227,72.0478515625,,,,,,,,,,,,,No
G08,Plate 4,,,,16S_bact,268.568176269531,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR EvaGreen Supermix,EvaGreen,5371.36328125,,,278.213500976563,259.001281738281,14777,3016,11761,0,0,0,0,,,,,,,,,10000,,,1.8553599633373,4.11088141288676,,,,,,,,,,,,11128.7581469791,2427.1420135044,4203.15028707547,,,,,273.479370117188,263.677368164063,,,,,,,,,,,,,No
G09,Plate 4,,,,16S_bact,3.0315842628479,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR EvaGreen Supermix,EvaGreen,60.6316833496094,,,4.15481948852539,2.1322078704834,13600,35,13565,0,0,0,0,,,,,,,,,10000,,,1.17772075113123,3.37218517305784,,,,,,,,,,,,10201.7753348214,2441.54963354609,2461.52080263026,,,,,3.57237339019775,2.54851961135864,,,,,,,,,,,,,No
G10,Plate 4,,,,16S_bact,0.329359084367752,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR EvaGreen Supermix,EvaGreen,6.58718156814575,,,0.776693999767303,0.099374383687973,14290,4,14286,0,0,0,0,,,,,,,,,10000,,,15.2797797060854,73.8540087211927,,,,,,,,,,,,12214.0646972656,1966.04970473955,1968.91828836237,,,,,0.526112735271454,0.189123153686523,,,,,,,,,,,,,No
G11,Plate 4,,,,16S_bact,10065.6904296875,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR EvaGreen Supermix,EvaGreen,201313.8125,,,11757.7958984375,8919.001953125,15591,15588,3,0,0,0,0,,,,,,,,,10000,,,3.86338602082604,0.953886462879496,,,,,,,,,,,,11581.7338824587,6675.11954752604,11580.7897580917,,,,,10835.76953125,9433.146484375,,,,,,,,,,,,,No
G12,Plate 4,Std,,,16S_bact,3374.64501953125,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR EvaGreen Supermix,EvaGreen,67492.8984375,,,3454.1767578125,3300.15063476563,14933,14085,848,0,0,0,0,,,,,,,,,10000,,,3.63544961339646,2.7772349962801,,,,,,,,,,,,12422.546353196,3051.05716345445,11890.3677666494,,,,,3414.55029296875,3336.04858398438,,,,,,,,,,,,,No
H01,Plate 4,,,,16S_bact,3429.19897460938,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR EvaGreen Supermix,EvaGreen,68583.9765625,,,3513.9560546875,3350.14038085938,13871,13119,752,0,0,0,0,,,,,,,,,10000,,,2.6315452287171,1.68341875487653,,,,,,,,,,,,11702.5364793251,5031.41903296937,11340.8696694585,,,,,3471.67944335938,3388.19946289063,,,,,,,,,,,,,No
H02,Plate 4,,,,16S_bact,241.473861694336,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR EvaGreen Supermix,EvaGreen,4829.47705078125,,,259.783905029297,223.444396972656,3670,681,2989,0,0,0,0,,,,,,,,,10000,,,2.19604216861804,3.84693997718124,,,,,,,,,,,,12008.6225650468,3261.95105339859,4884.97102599599,,,,,250.780120849609,232.240631103516,,,,,,,,,,,,,No
H03,Plate 4,,,,16S_bact,25.4688854217529,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR EvaGreen Supermix,EvaGreen,509.377716064453,,,28.2894115447998,22.6551055908203,14662,314,14348,0,0,0,0,,,,,,,,,10000,,,2.07675617204812,19.0284935811551,,,,,,,,,,,,11570.8759641222,2053.84801870899,2257.66378564799,,,,,26.9070854187012,24.0324440002441,,,,,,,,,,,,,No
H04,Plate 4,,,,16S_bact,322.355255126953,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR EvaGreen Supermix,EvaGreen,6447.10498046875,,,333.529083251953,311.286590576172,13552,3248,10304,0,0,0,0,,,,,,,,,10000,,,1.37834600072226,2.5074651184596,,,,,,,,,,,,10680.9810090464,3215.26045764899,5004.56538319053,,,,,328.042938232422,316.694976806641,,,,,,,,,,,,,No
H05,Plate 4,,,,16S_bact,0.258366227149963,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR EvaGreen Supermix,EvaGreen,5.16732454299927,,,0.684880793094635,0.0613137856125832,13662,3,13659,0,0,0,0,,,,,,,,,10000,,,1.48855111005838,6.57949363429909,,,,,,,,,,,,11841.12890625,2407.0173484433,2409.08895835938,,,,,0.442357569932938,0.134257242083549,,,,,,,,,,,,,No
H06,Plate 4,,,,16S_bact,434.392700195313,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR EvaGreen Supermix,EvaGreen,8687.853515625,,,447.420257568359,421.507781982422,14148,4368,9780,0,0,0,0,,,,,,,,,10000,,,2.26180599532741,5.20304887765582,,,,,,,,,,,,11513.0902591468,2488.47479819705,5274.70043669213,,,,,441.021392822266,427.801116943359,,,,,,,,,,,,,No
H07,Plate 4,,,,16S_bact,1511.23205566406,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR EvaGreen Supermix,EvaGreen,30224.640625,,,1542.57043457031,1480.70666503906,14528,10507,4021,0,0,0,0,,,,,,,,,10000,,,3.37734701000032,5.03179566144727,,,,,,,,,,,,12677.4381114785,2263.83140080131,9795.20293914694,,,,,1527.11669921875,1495.55895996094,,,,,,,,,,,,,No
H08,Plate 4,,,,16S_bact,41.5526161193848,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR EvaGreen Supermix,EvaGreen,831.052307128906,,,45.2644500732422,37.8524589538574,13918,483,13435,0,0,0,0,,,,,,,,,10000,,,1.62275910858708,10.7089253639963,,,,,,,,,,,,11050.9865990554,1922.66919879807,2239.45158881993,,,,,43.4449462890625,39.6633262634277,,,,,,,,,,,,,No
H09,Plate 4,Redo,,,16S_bact,No Call,,CHECK,Droplet Count < 1000,DQ,Unknown,Unknown,ddPCR EvaGreen Supermix,EvaGreen,,,,,,0,0,0,0,0,0,0,,,,,,,,,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
H10,Plate 4,,,,16S_bact,416.206665039063,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR EvaGreen Supermix,EvaGreen,8324.1328125,,,429.145599365234,403.408538818359,13629,4061,9568,0,0,0,0,,,,,,,,,10000,,,1.71975240581671,2.50446559530717,,,,,,,,,,,,11039.9225201901,3524.56364453995,5763.89686003745,,,,,422.790374755859,409.659637451172,,,,,,,,,,,,,No
H11,Plate 4,,,,16S_bact,395.200378417969,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR EvaGreen Supermix,EvaGreen,7904.0078125,,,407.683715820313,382.848175048828,13767,3928,9839,0,0,0,0,,,,,,,,,10000,,,1.21280684087138,1.23375368061085,,,,,,,,,,,,10440.8679723798,5926.16692996129,7214.3012870921,,,,,401.552886962891,388.882019042969,,,,,,,,,,,,,No
H12,Plate 4,,,,16S_bact,977.420288085938,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR EvaGreen Supermix,EvaGreen,19548.40625,,,999.832580566406,955.427062988281,13973,7885,6088,0,0,0,0,,,,,,,,,10000,,,2.43730897888231,4.40189509244732,,,,,,,,,,,,11836.7080433576,2402.91642913618,7726.42940975138,,,,,988.8017578125,966.147888183594,,,,,,,,,,,,,No
