"Autosampler.Position","Species.ID","Tree.ID","Lab.No","Lab.ID","FID.File","FID.Date","FID.Time","FID.Channel.CH4","Certified.Value.CO2...10","CH4.Area","CH4.ppm","CH4.Unit","FID.Channel.CO2","Certified.Value.CO2...15","CO2.Area","CO2.ppm","CO2.Unit","ECD.File","ECD.Date","ECD.Time","ECD.Channel.O2","Certified.Value.O2","O2.Area","O2.ppm","ECD.Channel.N2O","Certified.Value.N2O","N2O.Area","N2O.ppm","N2O.Unit","CO2_concentration","CH4_concentration","N2O_concentration","O2_concentration"
149,"BELE","BB10",149,"149g","F220930s149.CHR",2022-09-30,1899-12-31 21:03:20,"CH4",1.403,0.9652,4.4926,"ppm","CO2",1.936,2891.9812,10478.4687,"ppm","E220930s149.CHR",2022-09-30,1899-12-31 21:03:20,"O2",1.163,3523.7716,174715.8797,"N2O",2.223,165.3863,0.4791,"ppm",10899.6475748342,0,0.612926398401787,193111.376781233
150,"BLANK","BLANK",150,"BLANK","F220930s150.CHR",2022-09-30,1899-12-31 21:08:44,"CH4",1.4,0.2536,1.4148,"ppm","CO2",1.923,95.237,142.4113,"ppm","E220930s150.CHR",2022-09-30,1899-12-31 21:08:44,"O2",1.16,3134.1823,127235.6627,"N2O",2.223,60.1018,0.0476,"ppm",226.971164262604,0,0.203939255395466,149863.793399849
151,"BELE","BB10'",151,"151g","F220930s151.CHR",2022-09-30,1899-12-31 21:14:08,"CH4",1.41,0.4776,2.3836,"ppm","CO2",1.936,167.2185,408.4366,"ppm","E220930s151.CHR",2022-09-30,1899-12-31 21:14:08,"O2",1.17,3699.2515,200595.4365,"N2O",2.236,87.5254,0.16,"ppm",492.669917327783,0,0.310372834517956,214172.118979666
152,"BLANK","BLANK",152,"BLANK","F220930s152.CHR",2022-09-30,1899-12-31 21:19:33,"CH4",1.4,0.3148,1.6795,"ppm","CO2",1.92,84.4986,102.7249,"ppm","E220930s152.CHR",2022-09-30,1899-12-31 21:19:33,"O2",1.16,2983.4795,113838.3253,"N2O",2.22,55.7195,0.0296,"ppm",187.374203907587,0,0.186937393814856,134432.826323798
153,"Check Standard","CHECK",153,"ChkStd5","F220930s153.CHR",2022-09-30,1899-12-31 21:24:57,"CH4",1.406,0.6975,3.3348,"ppm","CO2",1.926,167.567,409.7246,"ppm","E220930s153.CHR",2022-09-30,1899-12-31 21:24:57,"O2",1.163,3917.2282,232742.3684,"N2O",2.226,106.0934,0.2361,"ppm",493.95745907461,0,0.382475337271899,241700.724615082
154,"BLANK","BLANK",154,"BLANK","F220930s154.CHR",2022-09-30,1899-12-31 21:30:22,"CH4",1.406,0.3775,1.9507,"ppm","CO2",1.926,106.2534,183.1251,"ppm","E220930s154.CHR",2022-09-30,1899-12-31 21:30:22,"O2",1.166,3207.7118,134478.7123,"N2O",2.223,67.9114,0.0796,"ppm",267.60421218057,0,0.234242172290987,157655.61702397
155,"BELE","BB12",155,"155g","F220930s155.CHR",2022-09-30,1899-12-31 21:35:47,"CH4",1.413,1.3964,6.3577,"ppm","CO2",1.94,892.112,3087.4592,"ppm","E220930s155.CHR",2022-09-30,1899-12-31 21:35:47,"O2",1.17,3704.531,201374.0506,"N2O",2.236,111.2281,0.2571,"ppm",3194.88174009835,0,0.402419660102655,214820.970171208
156,"BLANK","BLANK",156,"BLANK","F220930s156.CHR",2022-09-30,1899-12-31 21:41:11,"CH4",1.403,0.3371,1.776,"ppm","CO2",1.926,94.9997,141.5343,"ppm","E220930s156.CHR",2022-09-30,1899-12-31 21:41:11,"O2",1.163,3108.0118,124811.2718,"N2O",2.23,61.2245,0.0522,"ppm",226.096025947178,0,0.208295234237534,147132.142997005
157,"BELE","BB13",157,"157g","F220930s157.CHR",2022-09-30,1899-12-31 21:46:36,"CH4",1.406,422.1524,1826.2202,"ppm","CO2",1.936,3690.0115,13427.7864,"ppm","E220930s157.CHR",2022-09-30,1899-12-31 21:46:36,"O2",1.163,3436.4464,161837.2681,"N2O",2.223,170.4003,0.4997,"ppm",14076.5151561267,1862.56100150169,0.632428564943841,182996.705192437
158,"BLANK","BLANK",158,"BLANK","F220930s158.CHR",2022-09-30,1899-12-31 21:52:01,"CH4",1.4,0.4963,2.4645,"ppm","CO2",1.923,116.1146,219.5696,"ppm","E220930s158.CHR",2022-09-30,1899-12-31 21:52:01,"O2",1.16,3356.0144,151115.2967,"N2O",2.223,68.9284,0.0838,"ppm",303.98584094581,0,0.238188752667678,173895.598694544
159,"BELE","BB14",159,"159g","F220930s159.CHR",2022-09-30,1899-12-31 21:57:26,"CH4",1.413,2.2661,10.1193,"ppm","CO2",1.933,325.6838,994.0842,"ppm","E220930s159.CHR",2022-09-30,1899-12-31 21:57:26,"O2",1.17,3473.9186,167363.6214,"N2O",2.233,89.4296,0.1678,"ppm",1079.27235809318,0,0.317765721835691,187307.235340235
160,"BLANK","BLANK",160,"BLANK","F220930s160.CHR",2022-09-30,1899-12-31 22:02:50,"CH4",1.4,0.3132,1.6726,"ppm","CO2",1.923,94.053,138.0355,"ppm","E220930s160.CHR",2022-09-30,1899-12-31 22:02:50,"O2",1.16,2956.5486,111629.3151,"N2O",2.226,60.8924,0.0508,"ppm",222.604743811591,0,0.207006703188617,131751.557421867
161,"BELE","BB16",161,"161g","F220930s161.CHR",2022-09-30,1899-12-31 22:08:14,"CH4",1.403,19.6955,85.5053,"ppm","CO2",1.933,1997.5934,7173.0382,"ppm","E220930s161.CHR",2022-09-30,1899-12-31 22:08:14,"O2",1.16,3407.1786,157751.7444,"N2O",2.223,146.3528,0.4011,"ppm",7408.57625260165,68.5676147219959,0.538915340328104,179661.094950356
162,"BLANK","BLANK",162,"BLANK","F220930s162.CHR",2022-09-30,1899-12-31 22:13:38,"CH4",1.4,0.3707,1.9213,"ppm","CO2",1.926,104.6272,177.1151,"ppm","E220930s162.CHR",2022-09-30,1899-12-31 22:13:38,"O2",1.16,3025.2373,117421.3615,"N2O",2.233,66.2454,0.0728,"ppm",261.605412786872,0,0.227777276714655,138636.01096651
163,"BELE","BB16'",163,"163g","F220930s163.CHR",2022-09-30,1899-12-31 22:19:03,"CH4",1.413,3.2316,14.2953,"ppm","CO2",1.94,1525.8156,5429.4671,"ppm","E220930s163.CHR",2022-09-30,1899-12-31 22:19:03,"O2",1.17,3301.4899,144618.5671,"N2O",2.233,130.9479,0.338,"ppm",5596.62607249925,0,0.479037778641216,167843.326260457
164,"BLANK","BLANK",164,"BLANK","F220930s164.CHR",2022-09-30,1899-12-31 22:24:27,"CH4",1.403,0.3037,1.6315,"ppm","CO2",1.923,91.4233,128.3168,"ppm","E220930s164.CHR",2022-09-30,1899-12-31 22:24:27,"O2",1.16,2922.5115,108873.396,"N2O",2.226,61.751,0.0543,"ppm",212.907250934517,0,0.210338047660749,128395.875666613
165,"BELE","BB3",165,"165g","F220930s165.CHR",2022-09-30,1899-12-31 22:29:52,"CH4",1.4,0.5112,2.529,"ppm","CO2",1.93,2287.7911,8245.5353,"ppm","E220930s165.CHR",2022-09-30,1899-12-31 22:29:52,"O2",1.16,3365.1194,152229.3152,"N2O",2.22,152.986,0.4283,"ppm",8533.2702994423,0,0.564704599113915,174915.500017333
166,"BLANK","BLANK",166,"BLANK","F220930s166.CHR",2022-09-30,1899-12-31 22:35:17,"CH4",1.406,0.2928,1.5843,"ppm","CO2",1.926,100.732,162.7194,"ppm","E220930s166.CHR",2022-09-30,1899-12-31 22:35:17,"O2",1.166,2939.1732,110222.4621,"N2O",2.226,65.4367,0.0694,"ppm",247.237610412938,0,0.224639214678971,130033.919041949
167,"BELE","BB5",167,"167g","F220930s167.CHR",2022-09-30,1899-12-31 22:40:41,"CH4",1.4,0.531,2.6146,"ppm","CO2",1.923,234.7516,658.0219,"ppm","E220930s167.CHR",2022-09-30,1899-12-31 22:40:41,"O2",1.16,3446.9458,163385.7065,"N2O",2.223,94.5412,0.1887,"ppm",742.380578755373,0,0.337612664864827,184199.964530373
168,"BLANK","BLANK",168,"BLANK","F220930s168.CHR",2022-09-30,1899-12-31 22:46:05,"CH4",1.41,0.3328,1.7574,"ppm","CO2",1.936,91.0514,126.9424,"ppm","E220930s168.CHR",2022-09-30,1899-12-31 22:46:05,"O2",1.166,3018.91,116878.4463,"N2O",2.236,58.7852,0.0422,"ppm",211.535853801154,0,0.198831105531384,137995.554047351
169,"BELE","BB6",169,"169g","F220930s169.CHR",2022-09-30,1899-12-31 22:51:30,"CH4",1.413,0.8132,3.8352,"ppm","CO2",1.936,344.1874,1062.4688,"ppm","E220930s169.CHR",2022-09-30,1899-12-31 22:51:30,"O2",1.17,3511.946,172971.8549,"N2O",2.236,96.9784,0.1987,"ppm",1147.91857044082,0,0.347076471112451,191727.409635874
170,"BLANK","BLANK",170,"BLANK","F220930s170.CHR",2022-09-30,1899-12-31 22:56:54,"CH4",1.403,0.3462,1.8153,"ppm","CO2",1.923,99.4263,157.8939,"ppm","E220930s170.CHR",2022-09-30,1899-12-31 22:56:54,"O2",1.16,3057.9174,120239.8089,"N2O",2.226,63.2682,0.0606,"ppm",242.421727515192,0,0.216224903928114,141964.255713652
171,"BELE","BB7",171,"171g","F220930s171.CHR",2022-09-30,1899-12-31 23:02:19,"CH4",1.403,0.7883,3.7275,"ppm","CO2",1.923,244.2223,693.0232,"ppm","E220930s171.CHR",2022-09-30,1899-12-31 23:02:19,"O2",1.16,3452.8632,164258.3973,"N2O",2.226,93.1498,0.183,"ppm",777.432906032189,0,0.332210007276708,184879.663346378
172,"BLANK","BLANK",172,"BLANK","F220930s172.CHR",2022-09-30,1899-12-31 23:07:43,"CH4",1.413,0.3102,1.6596,"ppm","CO2",1.936,93.2592,135.1018,"ppm","E220930s172.CHR",2022-09-30,1899-12-31 23:07:43,"O2",1.17,3083.708,122593.3808,"N2O",2.236,62.7923,0.0586,"ppm",219.677396389905,0,0.214378351953776,144614.896445717
173,"Check Standard","CHECK",173,"ChkStd6","F220930s173.CHR",2022-09-30,1899-12-31 23:13:08,"CH4",1.4,0.6545,3.1488,"ppm","CO2",1.923,170.9156,422.1002,"ppm","E220930s173.CHR",2022-09-30,1899-12-31 23:13:08,"O2",1.16,3765.7348,210400.3107,"N2O",2.223,111.1918,0.257,"ppm",506.329510900794,0,0.402278654476989,222407.803929746
174,"BLANK","BLANK",174,"BLANK","F220930s174.CHR",2022-09-30,1899-12-31 23:18:32,"CH4",1.403,0.3192,1.6985,"ppm","CO2",1.92,87.2344,112.8357,"ppm","E220930s174.CHR",2022-09-30,1899-12-31 23:18:32,"O2",1.16,2920.9669,108748.3327,"N2O",2.223,57.0122,0.0349,"ppm",197.461236192533,0,0.191952459102643,128244.471493616
175,"BELE","BB9",175,"175g","F220930s175.CHR",2022-09-30,1899-12-31 23:23:56,"CH4",1.403,30.6962,133.0858,"ppm","CO2",1.93,11104.8144,40831.0179,"ppm","E220930s175.CHR",2022-09-30,1899-12-31 23:23:56,"O2",1.16,2982.6668,113768.5914,"N2O",2.22,248.0748,0.8181,"ppm",46385.395148782,116.895146682249,0.934835219805851,134351.574606334
176,"BLANK","BLANK",176,"BLANK","F220930s176.CHR",2022-09-30,1899-12-31 23:29:20,"CH4",0,0,0,"ppm","CO2",1.923,126.5582,258.1665,"ppm","E220930s176.CHR",2022-09-30,1899-12-31 23:29:20,"O2",1.156,2974.1662,113055.7785,"N2O",2.223,63.0842,0.0598,"ppm",342.525879842086,0,0.215510958328359,133502.96815308
177,"BELE","BBGT1",177,"177g","F220930s177.CHR",2022-09-30,1899-12-31 23:34:44,"CH4",1.403,5.776,25.3004,"ppm","CO2",1.933,3167.813,11497.8731,"ppm","E220930s177.CHR",2022-09-30,1899-12-31 23:34:44,"O2",1.16,3392.6008,155802.0264,"N2O",2.216,177.6208,0.5293,"ppm",11991.0999976891,7.47453706529252,0.66051697358212,178009.874853008
178,"BLANK","BLANK",178,"BLANK","F220930s178.CHR",2022-09-30,1899-12-31 23:40:10,"CH4",1.413,0.2726,1.497,"ppm","CO2",1.933,99.1888,157.0161,"ppm","E220930s178.CHR",2022-09-30,1899-12-31 23:40:10,"O2",1.166,3124.0963,126279.0945,"N2O",2.236,63.6096,0.062,"ppm",241.54576040775,0,0.217549591480458,148808.440215109
179,"BELE","BBX1",179,"179g","F220930s179.CHR",2022-09-30,1899-12-31 23:45:35,"CH4",1.41,0.4736,2.3663,"ppm","CO2",1.946,2969.2262,10763.9467,"ppm","E220930s179.CHR",2022-09-30,1899-12-31 23:45:35,"O2",1.166,3480.6621,168358.1444,"N2O",2.236,173.4267,0.5121,"ppm",11204.5989639909,0,0.64420096919258,188087.712873774
180,"BLANK","BLANK",180,"BLANK","F220930s180.CHR",2022-09-30,1899-12-31 23:51:00,"CH4",1.4,0.305,1.6371,"ppm","CO2",1.923,117.459,224.5382,"ppm","E220930s180.CHR",2022-09-30,1899-12-31 23:51:00,"O2",1.16,3177.5454,131461.3323,"N2O",2.223,70.7014,0.091,"ppm",308.946522335568,0,0.245069296311626,154438.066268234
181,"BELE","BBX6",181,"181g","F220930s181.CHR",2022-09-30,1899-12-31 23:56:24,"CH4",1.413,1.2213,5.6003,"ppm","CO2",1.943,1739.7386,6220.0722,"ppm","E220930s181.CHR",2022-09-30,1899-12-31 23:56:24,"O2",1.166,3554.368,179228.1986,"N2O",2.233,145.3954,0.3972,"ppm",6415.70855644719,0,0.535193385316109,196712.813452238
182,"BLANK","BLANK",182,"BLANK","F220930s182.CHR",2022-10-01,1899-12-31 00:01:48,"CH4",1.4,0.2618,1.4503,"ppm","CO2",1.926,91.0472,126.9268,"ppm","E220930s182.CHR",2022-10-01,1899-12-31 00:01:48,"O2",1.16,2924.1878,109009.1228,"N2O",2.226,58.1926,0.0398,"ppm",211.520366194184,0,0.1965319845168,128560.275373464
183,"BELE","BBX7",183,"183g","F220930s183.CHR",2022-10-01,1899-12-31 00:07:13,"CH4",1.4,0.469,2.3464,"ppm","CO2",1.936,4945.6536,18068.3212,"ppm","E220930s183.CHR",2022-10-01,1899-12-31 00:07:13,"O2",1.16,3383.3992,154571.352,"N2O",2.223,236.743,0.7716,"ppm",19193.2853735529,0,0.890683875437142,176971.103061411
184,"BLANK","BLANK",184,"BLANK","F220930s184.CHR",2022-10-01,1899-12-31 00:12:37,"CH4",1.4,0.254,1.4165,"ppm","CO2",1.926,127.042,259.9545,"ppm","E220930s184.CHR",2022-10-01,1899-12-31 00:12:37,"O2",1.163,3109.382,124936.3121,"N2O",2.23,66.598,0.0742,"ppm",344.31149032512,0,0.229145516533921,147274.621270121
185,"BEPA","PB1",185,"185g","F220930s185.CHR",2022-10-01,1899-12-31 00:18:02,"CH4",1.413,4.7056,20.6707,"ppm","CO2",1.946,8811.6082,32355.9092,"ppm","E220930s185.CHR",2022-10-01,1899-12-31 00:18:02,"O2",1.166,3152.4714,129017.9083,"N2O",2.233,242.6012,0.7956,"ppm",35854.7311051582,2.7791638890619,0.913507353700802,151785.756234456
186,"BLANK","BLANK",186,"BLANK","F220930s186.CHR",2022-10-01,1899-12-31 00:23:27,"CH4",1.373,0.1713,1.0588,"ppm","CO2",1.916,84.9976,104.5691,"ppm","E220930s186.CHR",2022-10-01,1899-12-31 00:23:27,"O2",1.156,2701.4016,92276.7098,"N2O",2.216,53.6265,0.021,"ppm",189.213990857767,0,0.178817860782949,107496.410351695
187,"BEPA","PB2",187,"187g","F220930s187.CHR",2022-10-01,1899-12-31 00:28:51,"CH4",1.4,1.1561,5.3183,"ppm","CO2",1.926,13340.041,49091.8486,"ppm","E220930s187.CHR",2022-10-01,1899-12-31 00:28:51,"O2",1.156,2994.2381,114761.4691,"N2O",2.22,252.1437,0.8347,"ppm",57113.7891912107,0,0.950691419871352,135510.429264071
188,"BLANK","BLANK",188,"BLANK","F220930s188.CHR",2022-10-01,1899-12-31 00:34:15,"CH4",0,0,0,"ppm","CO2",1.923,139.0666,304.3944,"ppm","E220930s188.CHR",2022-10-01,1899-12-31 00:34:15,"O2",1.156,3194.093,133073.8713,"N2O",2.223,73.7106,0.1034,"ppm",388.698814345505,0,0.256747851031945,156199.441409508
189,"BEPA","PB3",189,"189g","F220930s189.CHR",2022-10-01,1899-12-31 00:39:39,"CH4",1.41,19.9238,86.4928,"ppm","CO2",1.92,18873.7841,69543.16,"ppm","E220930s189.CHR",2022-10-01,1899-12-31 00:39:39,"O2",1.166,2706.8402,92653.3635,"N2O",2.226,313.5628,1.0865,"ppm",85644.6965199815,69.5701618129682,1.19021767012381,107991.7684138
190,"BLANK","BLANK",190,"BLANK","F220930s190.CHR",2022-10-01,1899-12-31 00:45:04,"CH4",0,0,0,"ppm","CO2",1.926,170.1658,419.3291,"ppm","E220930s190.CHR",2022-10-01,1899-12-31 00:45:04,"O2",1.166,3012.5966,116336.7238,"N2O",2.23,70.6767,0.0909,"ppm",503.559140132387,0,0.244973440211425,137357.776579031
191,"BEPA","PB4",191,"191g","F220930s191.CHR",2022-10-01,1899-12-31 00:50:28,"CH4",1.4,0.4038,2.0644,"ppm","CO2",1.923,440.7752,1419.4329,"ppm","E220930s191.CHR",2022-10-01,1899-12-31 00:50:28,"O2",1.16,3479.722,168219.4996,"N2O",2.226,100.0083,0.2111,"ppm",1506.75767703419,0,0.358842513788705,187978.820822223
192,"BLANK","BLANK",192,"BLANK","F220930s192.CHR",2022-10-01,1899-12-31 00:55:52,"CH4",1.413,0.3656,1.8992,"ppm","CO2",1.933,109.1281,193.7493,"ppm","E220930s192.CHR",2022-10-01,1899-12-31 00:55:52,"O2",1.17,3227.978,136597.3686,"N2O",2.236,73.5496,0.1027,"ppm",278.209127381746,0,0.256122997493941,159833.508287577
193,"Check Standard","CHECK",193,"ChkStd7","F220930s193.CHR",2022-10-01,1899-12-31 01:01:17,"CH4",1.413,0.6486,3.1233,"ppm","CO2",1.936,171.6826,424.9348,"ppm","E220930s193.CHR",2022-10-01,1899-12-31 01:01:17,"O2",1.17,3904.8179,230912.1128,"N2O",2.24,111.8824,0.2598,"ppm",509.163485780017,0,0.404961277660097,240092.732076836
194,"BLANK","BLANK",194,"BLANK","F220930s194.CHR",2022-10-01,1899-12-31 01:06:42,"CH4",1.4,0.3302,1.7461,"ppm","CO2",1.923,93.9171,137.5333,"ppm","E220930s194.CHR",2022-10-01,1899-12-31 01:06:42,"O2",1.16,3050.147,119558.7432,"N2O",2.226,61.8737,0.0548,"ppm",222.103572524276,0,0.210814125704581,141169.807379408
195,"BEPA","PB501",195,"195g","F220930s195.CHR",2022-10-01,1899-12-31 01:12:06,"CH4",1.403,0.4936,2.4528,"ppm","CO2",1.923,186.64,480.2136,"ppm","E220930s195.CHR",2022-10-01,1899-12-31 01:12:06,"O2",1.16,3543.9031,177684.8482,"N2O",2.223,89.2515,0.1671,"ppm",564.440102317004,0,0.317074250606436,195477.653374173
196,"BLANK","BLANK",196,"BLANK","F220930s196.CHR",2022-10-01,1899-12-31 01:17:31,"CH4",1.406,0.3666,1.9035,"ppm","CO2",1.923,97.7099,151.5505,"ppm","E220930s196.CHR",2022-10-01,1899-12-31 01:17:31,"O2",1.16,3079.5629,122215.1115,"N2O",2.226,64.2338,0.0645,"ppm",236.091275688524,0,0.219971616111875,144187.451295205
198,"BLANK","BLANK",198,"BLANK","F220930s198.CHR",2022-10-01,1899-12-31 01:28:20,"CH4",1.41,0.5632,2.7539,"ppm","CO2",1.933,93.4196,135.6946,"ppm","E220930s198.CHR",2022-10-01,1899-12-31 01:28:20,"O2",1.166,3056.464,120107.176,"N2O",2.233,62.9169,0.0591,"ppm",220.26890915089,0,0.214861813690906,141815.513214244
199,"FAGR","AB1",199,"199g","F220930s199.CHR",2022-10-01,1899-12-31 01:33:44,"CH4",1.41,7557.3487,32687.519,"ppm","CO2",1.943,10582.6764,38901.3282,"ppm","E220930s199.CHR",2022-10-01,1899-12-31 01:33:44,"O2",1.166,2926.6909,109211.7941,"N2O",2.233,226.6079,0.7301,"ppm",43945.2893588015,42526.2300787133,0.851204923003888,128805.928609958
200,"BLANK","BLANK",200,"BLANK","F220930s200.CHR",2022-10-01,1899-12-31 01:39:08,"CH4",1.403,7.6828,33.5477,"ppm","CO2",1.923,97.489,150.7341,"ppm","E220930s200.CHR",2022-10-01,1899-12-31 01:39:08,"O2",1.16,3006.2688,115793.7657,"N2O",2.223,60.0042,0.0472,"ppm",235.27656866291,15.8397634868724,0.203560581189295,136719.819856634
201,"FAGR","AB10",201,"201g","F220930s201.CHR",2022-10-01,1899-12-31 01:44:32,"CH4",1.403,0.7592,3.6016,"ppm","CO2",1.936,4431.3988,16167.7659,"ppm","E220930s201.CHR",2022-10-01,1899-12-31 01:44:32,"O2",1.16,3390.8722,155570.8336,"N2O",2.223,196.2236,0.6055,"ppm",17080.2089140518,0,0.732905144377349,177814.526633601
202,"BLANK","BLANK",202,"BLANK","F220930s202.CHR",2022-10-01,1899-12-31 01:49:57,"CH4",1.41,0.2784,1.5221,"ppm","CO2",1.933,106.718,184.8421,"ppm","E220930s202.CHR",2022-10-01,1899-12-31 01:49:57,"O2",1.166,3119.378,125848.5168,"N2O",2.236,64.3403,0.065,"ppm",269.318093995613,0,0.220384861552807,148315.852506873
203,"FAGR","AB11",203,"203g","F220930s203.CHR",2022-10-01,1899-12-31 01:55:22,"CH4",1.403,6.847,29.9327,"ppm","CO2",1.936,6940.1199,25439.3629,"ppm","E220930s203.CHR",2022-10-01,1899-12-31 01:55:22,"O2",1.16,3150.6165,128837.1511,"N2O",2.22,237.1642,0.7733,"ppm",27617.9157328268,12.1729198977291,0.892324762858263,151590.342663141
204,"BLANK","BLANK",204,"BLANK","F220930s204.CHR",2022-10-01,1899-12-31 02:00:47,"CH4",1.4,0.2362,1.3395,"ppm","CO2",1.923,118.3512,227.8355,"ppm","E220930s204.CHR",2022-10-01,1899-12-31 02:00:47,"O2",1.16,3172.9184,131010.438,"N2O",2.223,69.7962,0.0873,"ppm",312.238729199886,0,0.241556419470092,153947.116975445
205,"FAGR","AB2",205,"205g","F220930s205.CHR",2022-10-01,1899-12-31 02:06:11,"CH4",1.403,7613.1767,32928.9874,"ppm","CO2",1.95,6493.1071,23787.317,"ppm","E220930s205.CHR",2022-10-01,1899-12-31 02:06:11,"O2",1.166,3350.8748,150486.4544,"N2O",2.233,219.5309,0.7011,"ppm",25698.0247938682,42910.5142880997,0.823643565388635,173321.051053574
206,"BLANK","BLANK",206,"BLANK","F220930s206.CHR",2022-10-01,1899-12-31 02:11:36,"CH4",1.413,15.2491,66.2736,"ppm","CO2",1.933,113.7659,210.8894,"ppm","E220930s206.CHR",2022-10-01,1899-12-31 02:11:36,"O2",1.166,3215.6556,135309.168,"N2O",2.236,65.2716,0.0688,"ppm",295.319805654644,49.0453026559048,0.223998571418978,158507.730481345
207,"FAGR","AB3",207,"207g","F220930s207.CHR",2022-10-01,1899-12-31 02:17:01,"CH4",1.416,28.8272,125.0019,"ppm","CO2",1.946,2729.499,9877.9757,"ppm","E220930s207.CHR",2022-10-01,1899-12-31 02:17:01,"O2",1.17,3593.7437,185035.2777,"N2O",2.236,163.678,0.4721,"ppm",10259.9782863342,108.681571271276,0.606282408407651,201391.573439226
208,"BLANK","BLANK",208,"BLANK","F220930s208.CHR",2022-10-01,1899-12-31 02:22:26,"CH4",1.4,0.286,1.5549,"ppm","CO2",1.92,94.15,138.394,"ppm","E220930s208.CHR",2022-10-01,1899-12-31 02:22:26,"O2",1.16,3020.9952,117057.3673,"N2O",2.22,59.5661,0.0454,"ppm",222.962460924177,0,0.201860825643498,138206.479459817
209,"FAGR","AB3/5",209,"209g","F220930s209.CHR",2022-10-01,1899-12-31 02:27:50,"CH4",1.413,0.476,2.3767,"ppm","CO2",1.936,135.7576,292.1651,"ppm","E220930s209.CHR",2022-10-01,1899-12-31 02:27:50,"O2",1.17,3700.9036,200839.0861,"N2O",2.236,90.4738,0.1721,"ppm",376.482728040026,0,0.321819873794263,214375.066716836
210,"BLANK","BLANK",210,"BLANK","F220930s210.CHR",2022-10-01,1899-12-31 02:33:15,"CH4",1.403,0.329,1.7409,"ppm","CO2",1.923,95.8114,144.5341,"ppm","E220930s210.CHR",2022-10-01,1899-12-31 02:33:15,"O2",1.16,3111.7358,125151.1128,"N2O",2.223,66.1712,0.0725,"ppm",229.089514536018,0,0.227489350188199,147519.517535998
211,"FAGR","AB4",211,"211g","F220930s211.CHR",2022-10-01,1899-12-31 02:38:40,"CH4",1.403,383.744,1660.0954,"ppm","CO2",1.933,4168.4312,15195.9043,"ppm","E220930s211.CHR",2022-10-01,1899-12-31 02:38:40,"O2",1.16,3431.7302,161141.7288,"N2O",2.22,192.6458,0.5909,"ppm",16009.0418979604,1689.04870677313,0.718980611632827,182457.360236866
212,"BLANK","BLANK",212,"BLANK","F220930s212.CHR",2022-10-01,1899-12-31 02:44:05,"CH4",1.413,0.7917,3.7422,"ppm","CO2",1.936,103.0987,171.4661,"ppm","E220930s212.CHR",2022-10-01,1899-12-31 02:44:05,"O2",1.17,3167.7894,130510.6246,"N2O",2.236,63.5772,0.0618,"ppm",255.967234559468,0,0.217423873758841,153403.700661647
213,"Check Standard","CHECK",213,"ChkStd8","F220930s213.CHR",2022-10-01,1899-12-31 02:49:30,"CH4",1.413,0.6906,3.3049,"ppm","CO2",1.936,166.6402,406.2994,"ppm","E220930s213.CHR",2022-10-01,1899-12-31 02:49:30,"O2",1.17,3957.5296,238685.9686,"N2O",2.236,110.3672,0.2536,"ppm",490.533398446068,0,0.39907556682136,246956.416551428
214,"BLANK","BLANK",214,"BLANK","F220930s214.CHR",2022-10-01,1899-12-31 02:54:55,"CH4",1.4,0.3496,1.83,"ppm","CO2",1.92,90.3825,124.4703,"ppm","E220930s214.CHR",2022-10-01,1899-12-31 02:54:55,"O2",1.16,3027.2914,117597.614,"N2O",2.22,59.7654,0.0462,"ppm",209.069288395545,0,0.202634074545819,138844.203947012
215,"FAGR","AB5",215,"215g","F220930s215.CHR",2022-10-01,1899-12-31 03:00:20,"CH4",1.416,140.2218,606.8082,"ppm","CO2",1.95,5305.1566,19396.9531,"ppm","E220930s215.CHR",2022-10-01,1899-12-31 03:00:20,"O2",1.17,3374.8142,153423.1452,"N2O",2.236,211.8658,0.6696,"ppm",20684.884306959,600.229718913169,0.793796927504801,176004.374172842
216,"BLANK","BLANK",216,"BLANK","F220930s216.CHR",2022-10-01,1899-12-31 03:05:44,"CH4",1.413,0.5731,2.7967,"ppm","CO2",1.936,120.5372,235.9144,"ppm","E220930s216.CHR",2022-10-01,1899-12-31 03:05:44,"O2",1.166,3242.016,138064.9204,"N2O",2.24,67.6201,0.0784,"ppm",320.30535035969,0,0.233111767707563,161349.769277663
217,"FAGR","AB501",217,"217g","F220930s217.CHR",2022-10-01,1899-12-31 03:11:09,"CH4",1.413,73.815,319.5841,"ppm","CO2",1.94,946.5948,3288.8138,"ppm","E220930s217.CHR",2022-10-01,1899-12-31 03:11:09,"O2",1.166,3624.9689,189640.3313,"N2O",2.236,115.0698,0.2729,"ppm",3399.9256668122,306.70607502813,0.417343230178649,205137.012612034
218,"BLANK","BLANK",218,"BLANK","F220930s218.CHR",2022-10-01,1899-12-31 03:16:34,"CH4",1.41,0.3358,1.7703,"ppm","CO2",1.936,84.3788,102.2821,"ppm","E220930s218.CHR",2022-10-01,1899-12-31 03:16:34,"O2",1.17,2922.6904,108887.8812,"N2O",2.24,51.2974,0.0115,"ppm",186.93251095973,0,0.16978286962451,128413.416648252
219,"FAGR","AB6",219,"219g","F220930s219.CHR",2022-10-01,1899-12-31 03:21:58,"CH4",1.41,2690.2786,11636.3666,"ppm","CO2",1.943,11658.6572,42877.8804,"ppm","E220930s219.CHR",2022-10-01,1899-12-31 03:21:58,"O2",1.166,2917.0202,108428.7759,"N2O",2.233,270.2197,0.9088,"ppm",49000.9830457899,12970.5694001484,1.02115021757507,127857.955181093
